Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Designing of heavy duty handling robot (HEDURI-I robot design)","C. Ko; G. Chung; D. Kim","Department of Electrical Engineering, Changwon National University, Korea; Robotics & Control Group, Korea Institute of Machinery & Materials, Daejon, Korea; Robotics & Control Group, Korea Institute of Machinery & Materials, Daejon, Korea","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957135","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957135","heaavy duty robot;robot design;inverse dynamics;kinematics;components selection;design","Manipulator dynamics;Payloads;Robotic assembly;Service robots;Process design;Commercialization;Kinematics;Engineering drawings;Mechatronics;Design engineering","design;industrial robots;manipulator dynamics","heavy duty handling robot;heavy duty industrial robot;design process;articulated robot;RODAN;inverse dynamics analysis;manipulator","","1","","","","","","IEEE","IEEE Conferences"
"Comparison of position control algorithms of embedded shape memory alloy actuators","J. Ahola; T. Makkonen; K. Nevala; P. Isto","University of Oulu, Mechatronics and Machine Diagnostics Laboratory, P.O.Box 4200, FIN-90014, Finland; University of Oulu, Mechatronics and Machine Diagnostics Laboratory, P.O.Box 4200, FIN-90014, Finland; University of Oulu, Mechatronics and Machine Diagnostics Laboratory, P.O.Box 4200, FIN-90014, Finland; University of Oulu, Mechatronics and Machine Diagnostics Laboratory, P.O.Box 4200, FIN-90014, Finland","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957137","shape memory alloy;shape control;adaptive structure;anti-windup","Position control;Shape memory alloys;Actuators;Automotive components;Shape control;Three-term control;Current;Performance evaluation;Testing;Nonlinear control systems","actuators;neurocontrollers;PI control;position control;three-term control","embedded shape memory alloy actuators;position control algorithms;smart composites;electric current;proportional-integral-derivative control;anti-windup compensated PI controller;neural network controller","","3","","","","","","IEEE","IEEE Conferences"
"Throwing motion generation using nonlinear optimization on a 6-degree-of-freedom robot manipulator","F. Lombai; G. Szederkenyi","Faculty of Information Technology, Péter Pázmány Catholic University, Práter u. 50/A, H-1083 Budapest, Hungary; Faculty of Information Technology, Péter Pázmány Catholic University, Práter u. 50/A, H-1083 Budapest, Hungary","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957138","","Robots;Manipulators;Constraint optimization;Trajectory;Motion planning;Robotics and automation;Humans;Motion measurement;Mechatronics;Automatic control","actuators;collision avoidance;discrete time systems;manipulators;motion control;optimal control;optimisation;position control;splines (mathematics)","6-degree-of-freedom robot manipulator;throwing motion generation;nonlinear optimization;6-degree-of-freedom rigid robot arm;cubic spline;joint actuators;collision avoidance;trajectory tracking;discrete-time constrained optimal control technique","","13","","","","","","IEEE","IEEE Conferences"
"Adaptive feedforward compensation for reaction force with nonlinear specimen in shaking tables","K. Seki; M. Iwasaki; M. Kawafuku; H. Hirai; K. Yasuda","Department of Computer Science & Engineering, Nagoya Institute of Technology, Japan; Department of Computer Science & Engineering, Nagoya Institute of Technology, Japan; Department of Computer Science & Engineering, Nagoya Institute of Technology, Japan; Department of Computer Science & Engineering, Nagoya Institute of Technology, Japan; Social Infrastructure & Industrial Machinery Systems, Hitachi Plant Technologies Co., Ltd., Ibaraki, Japan","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957139","","Servomechanisms;Force measurement;Control systems;Acceleration;Valves;Earthquakes;System testing;Adaptive control;Force control;Nonlinear dynamical systems","adaptive control;earthquake engineering;motion control;structural engineering;vibration control","shaking table systems;earthquake simulators;adaptive feedforward compensation;adaptive control methodology;table motion performance;seismic tests;adaptive identifier;nonlinear specimen;numerical simulations","","4","","","","","","IEEE","IEEE Conferences"
"An automatic procedure to code the inspection guideline for vehicle headlamp lenses","S. Satorres Martinez; J. Gomez Ortega; J. Gamez Garcia; A. S. Garcia","Electronic Engineering and Automation Department, University of Jaén, Spain; Electronic Engineering and Automation Department, University of Jaén, Spain; Electronic Engineering and Automation Department, University of Jaén, Spain; Electronic Engineering and Automation Department, University of Jaén, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957140","","Inspection;Guidelines;Vehicles;Lenses;Quality control;Shape;Computer vision;Fuzzy systems;Geometry;Mechatronics","automotive components;CAD;computer vision;fuzzy logic;fuzzy set theory;inspection;knowledge based systems;mechanical engineering computing;quality control;road vehicles","vehicle headlamp lenses;inspection guideline coding;quality control;computer vision;fuzzy rule-based system;CAD;computer aided design","","2","","","","","","IEEE","IEEE Conferences"
"Localization and control of tracked mobile robots under slip conditions","R. Gonzalez; F. Rodriguez; J. Guzman; M. Berenguel","Dpto. Lenguajes y Computación, University of Almería, Spain; Dpto. Lenguajes y Computación, University of Almería, Spain; Dpto. Lenguajes y Computación, University of Almería, Spain; Dpto. Lenguajes y Computación, University of Almería, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957141","","Mobile robots;Radar tracking;Kinematics;Testing;Vehicles;Adaptive control;Linear feedback control systems;Greenhouses;Mechatronics;Trajectory","Kalman filters;mobile robots;position control","tracked mobile robots;trajectory tracking control;slip conditions;feedback linearization technique;indirect Kalman filter","","9","","","","","","IEEE","IEEE Conferences"
"Pulsating torque modeling and compensation for high precision positioning control","E. H. Abd-Elhameed; M. Iwasaki","Department of Computer Science and Engineering, Nagoya Institute of Technology, Japan; Department of Computer Science and Engineering, Nagoya Institute of Technology, Japan","2009 IEEE International Conference on Mechatronics","","2009","","","1","5","","","","10.1109/ICMECH.2009.4957142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957142","permanent magnet machine;pulsating torque;Cogging effect;micro-scopic displacement","Torque control;Servomechanisms;Microscopy;AC machines;Permanent magnets;Drives;Construction industry;Electrical equipment industry;Electricity supply industry;AC motors","AC motors;machine control;permanent magnet motors;position control","pulsating torque modeling;high precision positioning control;AC machines;permanent magnet machines;actuated servo drive;ball-screw-driven system;microscopic displacement range;AC PM motor","","3","","","","","","IEEE","IEEE Conferences"
"Market study on adaptive robots for flexible manufacturing systems","R. Gruninger; E. Kus; R. Huppi","Institute of Mechatronic Systems, Zurich University of Applied Sciences, Winterthur, Switzerland; Institute of Mechatronic Systems, Zurich University of Applied Sciences, Winterthur, Switzerland; Institute of Mechatronic Systems, Zurich University of Applied Sciences, Winterthur, Switzerland","2009 IEEE International Conference on Mechatronics","","2009","","","1","7","","","","10.1109/ICMECH.2009.4957143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957143","industrial robots;flexible manufacturing systems;adaptive robots;intelligent sensors","Robots;Flexible manufacturing systems","flexible manufacturing systems;industrial robots","flexible manufacturing systems;adaptive robotic systems;EU-project ARFLEX;batch size production;production line","","6","","","","","","IEEE","IEEE Conferences"
"Real time hybrid fuzzy-PID control of a twin rotor system","A. Rahideh; M. H. Shaheed","School of Electrical and Electronic, Shiraz University of Technology, I.R.Iran; Department of Engineering, Queen Mary, University of London, E1 4NS, UK","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957144","Real time;fuzzy;twin rotor;hybrid controller","Real time systems;Control systems;Aerodynamics;Transmission line measurements;Nonlinear dynamical systems;Fuzzy control;System testing;Helicopters;Couplings;Steady-state","control nonlinearities;fuzzy control;helicopters;machine control;MIMO systems;rotors;three-term control","twin rotor multi input multi output system;real time hybrid fuzzy-PID control;aerodynamic test rig","","6","","","","","","IEEE","IEEE Conferences"
"Robust model predictive control of a twin rotor MIMO system","A. Rahideh; M. H. Shaheed","School of Electrical and Electronic, Shiraz University of Technology, I.R.Iran; Department of Engineering, Queen Mary, University of London, E1 4NS, UK","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957145","Model predictive;robust;MIMO;twin rotor","Robust control;Predictive models;Predictive control;MIMO;Aerodynamics;Control systems;Nonlinear dynamical systems;System testing;Transmission line measurements;Nonlinear control systems","control nonlinearities;linear matrix inequalities;MIMO systems;nonlinear dynamical systems;optimisation;predictive control;robust control;rotors","twin rotor multi input multi output system;robust model predictive control;nonlinear aerodynamic test rig;nonlinear dynamic model;optimisation problem;linear matrix inequalities","","7","","","","","","IEEE","IEEE Conferences"
"Velocity-based energy stability margin for practical implementation in wheeled vehicles","G. Yuk; W. Cho; H. Yang","Department of Mechanical Engineering, Yonsei University, Seoul, South Korea; Department of Mechanical Engineering, Yonsei University, Seoul, South Korea; Department of Mechanical Engineering, Yonsei University, Seoul, South Korea","2009 IEEE International Conference on Mechatronics","","2009","","","1","5","","","","10.1109/ICMECH.2009.4957146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957146","stability margin;implementation;wheeled vehicle","Vehicle dynamics;Hardware;Stability criteria;Foot;Mechatronics;Mechanical engineering;Mechanical sensors;Energy measurement;Legged locomotion;Mobile robots","mechanical stability;vehicle dynamics;wheels","velocity-based energy stability margin;wheeled vehicles;static stability criteria;dynamic stability criteria;dynamic simulations;dynamic stability","","1","","","","","","IEEE","IEEE Conferences"
"Development of operator support system with primitive static states for intelligent construction machinery","M. Kamezaki; H. Iwata; S. Sugano","Department of Modern Mechanical Engineering, Waseda University, Kikui-cho 17, Shinjuku-ku, Tokyo 162-0044, Japan; Department of Modern Mechanical Engineering, Waseda University, Kikui-cho 17, Shinjuku-ku, Tokyo 162-0044, Japan; Department of Modern Mechanical Engineering, Waseda University, Kikui-cho 17, Shinjuku-ku, Tokyo 162-0044, Japan","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957147","","Machine intelligence;Machinery;Intelligent systems;Control systems;Intelligent robots;Cranes;Intelligent sensors;Mechatronics;Modems;Mechanical engineering","construction equipment;construction industry;intelligent control;manipulators;robust control","operator support system development;intelligent construction machinery;double-front construction machinery;state identification method;robustness;primitive static states;manipulator","","2","","","","","","IEEE","IEEE Conferences"
"Modeling and simulation of a piezo-driven camera orientation system","T. Villgrattner; R. Zandery; H. Ulbrich","Institute of Applied Mechanics, Technische Universität München, D-85748 Garching, Germany; INTEC GmbH, D-82234 Wessling, Germany; Institute of Applied Mechanics, Technische Universität München, D-85748 Garching, Germany","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957148","modeling;simulation;dynamic;high speed;parallel kinematic;human eye;camera orientation;piezo-actuator","Cameras;Humans;Robot vision systems;Actuators;Pulse width modulation;Eyes;Humanoid robots;Kinematics;Acceleration;Mechatronics","actuators;image sensors","piezo-driven camera orientation system;artificial eye;humanoid robots;head-mounted gaze-driven camera orientation device;saccadic eye movements;piezo-actuators","","3","","","","","","IEEE","IEEE Conferences"
"A new application of modular robots on analysis of caterpillar-like locomotion","H. Zhang; J. Gonzalez-Gomez; J. Zhang","Faculty of Mathematics, Informatics and Natural Sciences, University of Hamburg, Germany; School of Engineering Spain, Universidad Autonoma de Madrid, Spain; Faculty of Mathematics, Informatics and Natural Sciences, University of Hamburg, Germany","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957149","modular robot;bio-inpired technology;caterpillar-like locomotion analysis","Cameras;Humans;Robot vision systems;Actuators;Pulse width modulation;Eyes;Humanoid robots;Kinematics;Acceleration;Mechatronics","mobile robots;robot kinematics","caterpillar-like locomotion;modular robots;kinematics locomotion model;Cube-M;pitching-pitching connections;bio-inspired locomotion","","2","","","","","","IEEE","IEEE Conferences"
"A novel passive adhesion principle and application for an inspired climbing caterpillar robot","H. Zhang; W. Wang; J. Zhang","Faculty of Mathematics, Informatics and Natural Sciences, University of Hamburg, Germany; Faculty of Mathematics, Informatics and Natural Sciences, University of Hamburg, Germany; Faculty of Mathematics, Informatics and Natural Sciences, University of Hamburg, Germany","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957150","passive adhesion;climbing robot;inspired caterpillar robot","Adhesives;Climbing robots;Mobile robots;Legged locomotion;Chemical industry;Biological materials;Mathematics;Testing;Gravity;Europe","adhesion;mobile robots;vibrations","inspired modular climbing caterpillar robot;passive adhesion principle;low-frequency vibrating passive attachment principle;vacuum suckers;mathematic model;vacuum ejectors","","3","","","","","","IEEE","IEEE Conferences"
"Intelligent guidance of mobile explorer for Planetary Robotic Exploration","T. Kubota; Y. Kunii","Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Sagamihara, Japan; Electrical Engineering Department, Chuo University, Tokyo, Japan","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957151","Lunar or Planetary Rover System;Navigation and Guidance;Intelligent Tele-operation;Space Robotics","Intelligent robots;Mobile robots;Climbing robots;Adhesives;Legged locomotion;Chemical industry;Biological materials;Mathematics;Testing;Gravity","aerospace robotics;mobile robots;remotely operated vehicles","planetary robotic exploration;mobile explorer;intelligent guidance;lunar robotics exploration;lunar geologic survey;unmanned mobile robots","","","","","","","","IEEE","IEEE Conferences"
"Vibration attenuation control on HMBs","R. Garcia; J. Rolle; M. Casado","ETS.N.Máquinas, Spain; EU. Politécnica, University of a Coruna, Spain; Facultad de Náutica, Cádiz, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957152","","Vibration control;Attenuation;Magnetic levitation;Shafts;Current measurement;Electromagnetic measurements;Vibration measurement;Mechanical variables measurement;Stators;Coils","machine control;magnetic bearings;rotors;shafts;stators;vibration control","vibration attenuation control;hybrid magnetic bearings;magnetic active part;stator;machine rotor;compensation current;shaft vibration","","","","","","","","IEEE","IEEE Conferences"
"Modelling of a flexible plate using RLS with variable and directional forgetting factor","S. Md Salleh; M. O. Tokhi; M. Mohamad","Dept.of Automatic Control and System Eng., University of Sheffield, UK; Dept.of Automatic Control and System Eng., University of Sheffield, UK; Dept.of Automatic Control and System Eng., University of Sheffield, UK","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957153","flexible plate;forgetting factor modelling;RLS","Resonance light scattering;Climbing robots;Adhesives;Mobile robots;Legged locomotion;Chemical industry;Biological materials;Mathematics;Testing;Gravity","frequency response;least squares approximations;plates (structures);vibration control","flexible plate structure;recursive least squares method;variable forgetting factor;directional forgetting factor;frequency domain response;vibration suppression strategy","","5","","","","","","IEEE","IEEE Conferences"
"Nonlinear control of a quadrotor micro-UAV using feedback-linearization","H. Voos","University of Applied Sciences Ravensburg-Weingarten, D-88241, P.O.-Box 1261, Germany","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957154","","Unmanned aerial vehicles;Control systems;Robots;Surveillance;Navigation;Nonlinear dynamical systems;Vehicle dynamics;Payloads;Linear feedback control systems;Nonlinear control systems","aircraft;feedback;linearisation techniques;microrobots;nonlinear control systems;nonlinear dynamical systems;remotely operated vehicles;rotors;steering systems","quadrotor micro-UAV;micro aerial robots;feedback linearization;nonlinear control;unmanned aerial vehicles;steering principle;stabilizing control;nonlinear dynamic behavior;nonlinear vehicle control system;embedded microcontroller","","103","","","","","","IEEE","IEEE Conferences"
"Containing analysis of high speed failed part impacted and penetrated in electric machine casing","A. Almasi","Rotating Equipment Department, Tecnicas Reunidas S.A., Madrid, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","4","","","","10.1109/ICMECH.2009.4957157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957157","component;Failed part;High Speed;Electric Machine","Failure analysis;Electric machines;Plastics;Deformable models;Capacitive sensors;Temperature;Electrical safety;Explosions;Finite element methods;Mechatronics","electric machines;geometry;packaging;plastic deformation;rotors","electric machine casing;containing analysis;rotors;machine housing;plastic deformation theory;comprehensive dynamic plastic deformation;crater geometry","","","","","","","","IEEE","IEEE Conferences"
"Image stabilization, determining the structure of the camera movement by means of an additional line-scan","C. Luna; M. Mazo; J. L. Lazaro; A. Cano; P. Fernandez","Department of Electronics, University of Alcalá, Madrid, Spain; Department of Electronics, University of Alcalá, Madrid, Spain; Department of Electronics, University of Alcalá, Madrid, Spain; Department of Electronics, University of Alcalá, Madrid, Spain; Department of Electronics, University of Alcalá, Madrid, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957158","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957158","Image stabilization;structure for motion;noncontact measurement","Cameras;Biomedical measurements;Motion measurement;Velocity measurement;Sensor systems;Position measurement;Lighting;Mechatronics;Calibration;Mathematical model","image sensors;image sequences","image stabilization;camera movement;line-scan camera;a priori calibration process;mathematical model;2 k line-scan sensor;image sequence","","","","","","","","IEEE","IEEE Conferences"
"Greenhouse automation with programmable controller and decentralized periphery via field bus","I. Gonzalez Perez; A. J. Calderon Godoy","Centro de Investigación Agraria Finca ¿La Orden-Valdesequera¿, Junta de Extremadura, Badajoz, Spain; Industrial Engineering School, University of Extremadura, Badajoz, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957160","climate control;greenhouse;field bus;decentralized periphery","Automation;Programmable control;Automatic control;Control systems;Actuators;Remote monitoring;Solar radiation;Crops;Humidity control;Temperature control","control engineering computing;field buses;greenhouses;programmable controllers","greenhouse automation system;decentralized periphery;field bus;distributed control system;programmable logic controller;PROFIBUS","","3","","","","","","IEEE","IEEE Conferences"
"A heterogeneity-enabled development system for educational mechatronics","C. Stockmans-Daou; A. Cruz-Martin; J. Fernandez-Madrigal","Dept. of System Engineering and Automation, University of Málaga, E.T.S.I.Informática, Campus Teatinos, (Spain); Dept. of System Engineering and Automation, University of Málaga, E.T.S.I.Informática, Campus Teatinos, (Spain); Dept. of System Engineering and Automation, University of Málaga, E.T.S.I.Informática, Campus Teatinos, (Spain)","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957161","Design Tools;Mechatronics and Robotics;Methodologies","Mechatronics;Robotics and automation;Educational robots;Service robots;Layout;Automatic control;Robot control;Control systems;Plugs;Mobile robots","control engineering education;mechatronics","heterogeneity-enabled development system;educational mechatronics;robotic system;control system;automation system;LEGO Mindstorms","","2","","","","","","IEEE","IEEE Conferences"
"Impedance control of mobile robot with shell-shaped force sensor","T. Tsuji","Department of Electrical and Electronic Systems, Faculty of Engineering, Saitama University, 255 Shimo-ohkubo, Sakura-ku, Japan 338-8570","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957162","","Impedance;Force control;Robot control;Mobile robots;Force sensors;Motion control;Force measurement;Control systems;Robot sensing systems;Humans","force sensors;mechanical variables control;mobile robots;motion control","mobile robot;impedance control;shell-shaped force sensor;whole-body force sensing mechanism;motion control","","1","","","","","","IEEE","IEEE Conferences"
"Teleoperation platform for multimodal experimentation","P. Garcia-Robledo; P. Garcia-Borras; J. Barrio; M. Ferre; R. Aracil","DISAM, Universidad Politécnica de Madrid, Spain; DISAM, Universidad Politécnica de Madrid, Spain; DISAM, Universidad Politécnica de Madrid, Spain; DISAM, Universidad Politécnica de Madrid, Spain; DISAM, Universidad Politécnica de Madrid, Spain","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957164","teleoperation;hardware;communications;vision;USB;Ethernet","Haptic interfaces;Hardware;Testing;Virtual environment;Communication system control;Humans;Mechatronics;Universal Serial Bus;Ethernet networks;Open systems","control engineering computing;haptic interfaces;telecontrol;virtual reality","multimodal experimentation;teleoperation interface;video perception;remote environment;virtual environment;haptic devices;visual stereoscopic images;computer screen","","4","","","","","","IEEE","IEEE Conferences"
"Robotic crawler for inspecting generators with very narrow air gaps","W. Fischer; G. Caprari; R. Siegwart; R. Moser","Autonomous System Lab at ETH Zürich, Tannenstrasse 3, CLA E18, 8092, Switzerland; Autonomous System Lab at ETH Zürich, Tannenstrasse 3, CLA E14.1, 8092, Switzerland; Autonomous System Lab at ETH Zürich, Tannenstrasse 3, CLA E32, 8092, Switzerland; Director R&D in Inspection Technologies at ALSTOM Power Service, Brown Boveri Str. 7, CH-5401 Baden, Switzerland","2009 IEEE International Conference on Mechatronics","","2009","","","1","5","","","","10.1109/ICMECH.2009.4957165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957165","","Crawlers;Air gaps;Rotors;Prototypes;Testing;Inspection;Stators;Mobile robots;Torque;Wheels","electric generators;inspection;mobile robots;stators;torque control;wheels","nondestructive generator stators inspection;robotic crawler;torque transmission;attraction forces;magnetic guiding wheels","","6","","","","","","IEEE","IEEE Conferences"
"Decentralized control of leader-follower formations of mobile robots with obstacle avoidance","A. Santos Brandao; M. Sarcinelli-Filho; R. Carelli; T. F. Bastos-Filho","Graduate Program on Electrical Engineering, Federal University of Espírito Santo, Vitória, BRAZIL 29075-910; Graduate Program on Electrical Engineering, Federal University of Espírito Santo, Vitória, BRAZIL 29075-910; Institute of Automatics, National University of San Juan, ARGENTINA 5400; Graduate Program on Electrical Engineering, Federal University of Espírito Santo, Vitória, BRAZIL 29075-910","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957167","","Distributed control;Mobile robots;Robot kinematics;Orbital robotics;Centralized control;Communication system control;Robot control;Navigation;Robot sensing systems;Signal generators","collision avoidance;decentralised control;mobile robots;multi-robot systems","mobile robots;leader-follower formations;decentralized control scheme;obstacle avoidance;virtual robot;goal seeking","","21","","","","","","IEEE","IEEE Conferences"
"On the linear and nonlinear observability analysis of the SLAM problem","L. Perera; A. Melkumyan; E. Nettleton","Australian Centre for Field Robotics, J 04, Rose Street Building, The University of Sydney, NWS 2006, Australia; Australian Centre for Field Robotics, J 04, Rose Street Building, The University of Sydney, NWS 2006, Australia; Australian Centre for Field Robotics, J 04, Rose Street Building, The University of Sydney, NWS 2006, Australia","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957168","SLAM;observability","Observability;Simultaneous localization and mapping;Vehicles;Australia;Filters;Mechatronics;Robots;Kinematics;Sensor phenomena and characterization;Global Positioning System","mobile robots;nonlinear control systems;observability;piecewise constant techniques;SLAM (robots)","SLAM problem;linear observability analysis;nonlinear observability analysis;simultaneous localization and mapping;car like kinematic model;nonlinear Lie derivative theory;piecewise constant systems theory","","17","","","","","","IEEE","IEEE Conferences"
"Structure-control mechatronic design of the planar 5R 2DoF parallel robot","M. G. Villarreal-Cervantes; C. A. Cruz-Villar; J. Alvarez-Gallegos","Electrical Engineering Department, Cinvestav-IPN, Av. IPN 2508, C.P. 07300 México D.F., México; Electrical Engineering Department, Cinvestav-IPN, Av. IPN 2508, C.P. 07300 México D.F., México; Electrical Engineering Department, Cinvestav-IPN, Av. IPN 2508, C.P. 07300 México D.F., México","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957169","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957169","","Mechatronics;Parallel robots;Dynamic programming;Design methodology;Three-term control;Control systems;Nonlinear dynamical systems;Genetic programming;Robot programming;Optimal control","control system synthesis;dynamic programming;evolutionary computation;mechatronics;nonlinear programming;robot dynamics;robot kinematics;three-term control","structure-control mechatronic design;planar 5R 2DoF parallel robot;concurrent design;PID controller;synergetic design;nonlinear dynamic optimization;nonlinear programming;evolutionary approach;robot kinematics;robot dynamics","","6","","","","","","IEEE","IEEE Conferences"
"Fuzzy logic based speed planning for autonomous navigation under Velocity Field Control","C. Perez-D'Arpino; W. Medina-Melendez; J. Guzman; L. Fermin; G. Fernandez-Lopez","Universidad Simón Bolívar, Mechatronics Group, ELE-328, Sartenejas 1080-A Miranda, Venezuela; Universidad Simón Bolívar, Mechatronics Group, ELE-328, Sartenejas 1080-A Miranda, Venezuela; Universidad Simón Bolívar, Mechatronics Group, ELE-328, Sartenejas 1080-A Miranda, Venezuela; Universidad Simón Bolívar, Mechatronics Group, ELE-328, Sartenejas 1080-A Miranda, Venezuela; Universidad Simón Bolívar, Mechatronics Group, ELE-328, Sartenejas 1080-A Miranda, Venezuela","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957170","","Fuzzy logic;Navigation;Velocity control;Simultaneous localization and mapping;Observability;Vehicles;Australia;Filters;Mechatronics;Robots","computational geometry;encoding;fuzzy control;fuzzy reasoning;linear systems;mobile robots;path planning;position control;velocity control","fuzzy logic;speed path planning;autonomous navigation;velocity field control;vector polar form;trajectory vector field;encoding;linear velocity;Mamdani-type fuzzy inference system;Voronoi diagram","","5","","","","","","IEEE","IEEE Conferences"
"Development of isokinetic exercise system using high performance MR fluid brake","T. Kikuchi; K. Oda; Y. Ohyama; S. Isozumi; J. Furusho","Graduate school of Engineering, Osaka University, Japan; Dep. of Physical Therapy, Osaka Electro-Communication University, Japan; Graduate school of Engineering, Osaka University, Japan; Graduate school of Engineering, Osaka University, Japan; Graduate school of Engineering, Osaka University, Japan","2009 IEEE International Conference on Mechatronics","","2009","","","1","6","","","","10.1109/ICMECH.2009.4957171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4957171","Muscle training machine;Controllable brake;Isokinetic Exercise;MR Fluid","Software safety;Muscles;Costs;Safety devices;Hardware;Software systems;Erbium;Controllability;Elbow;Control systems","biomechanics;biomedical equipment;brakes;magnetic fluids;magnetorheology;patient rehabilitation","isokinetic exercise system;high performance MR fluid brake;muscle force;rehabilitative activities;sports rehabilitations;responsibility;controllability","","1","","","","","","IEEE","IEEE Conferences"
